date,gamingrevenue,revenue_lvstrip,revenue_downtown,revenue_bldrstrip
Jan-2017,926124000.0,608911000.0,55549000.0,84887000.0
Feb-2017,825618000.0,541901000.0,51736000.0,64489000.0
Mar-2017,857317000.0,526093000.0,62915000.0,68715000.0
Apr-2017,763254000.0,475375000.0,52313000.0,63875000.0
May-2017,860700000.0,546791000.0,55229000.0,79986000.0
Jun-2017,764615000.0,497276000.0,46047000.0,58737000.0
Jul-2017,848573000.0,565606000.0,45113000.0,66434000.0
Aug-2017,841591000.0,545546000.0,48519000.0,74250000.0
Sep-2017,830810000.0,567042000.0,49255000.0,52993000.0
Oct-2017,854453000.0,528682000.0,63575000.0,78829000.0
Nov-2017,785051000.0,485753000.0,54232000.0,72847000.0
Dec-2017,820397000.0,571504000.0,46773000.0,47053000.0
Jan-2018,892064000.0,554752000.0,56526000.0,90627000.0
Feb-2018,888773000.0,603494000.0,53205000.0,63825000.0
Mar-2018,888307000.0,573944000.0,53991000.0,64604000.0
Apr-2018,825327000.0,499502000.0,60485000.0,78377000.0
May-2018,904582000.0,581466000.0,53309000.0,79825000.0
Jun-2018,790981000.0,523921000.0,44015000.0,60893000.0
Jul-2018,839052000.0,533100000.0,48823000.0,78742000.0
Aug-2018,756098000.0,477919000.0,46213000.0,62171000.0
Sep-2018,843436000.0,546025000.0,54990000.0,67541000.0
Oct-2018,926514000.0,593419000.0,63758000.0,78323000.0
Nov-2018,833721000.0,534486000.0,55420000.0,63962000.0
Dec-2018,861109000.0,566215000.0,59197000.0,68097000.0
Jan-2019,860846000.0,532246000.0,52100000.0,81859000.0
Feb-2019,892705000.0,591738000.0,58005000.0,65330000.0
Mar-2019,882845000.0,551944000.0,58666000.0,70365000.0
Apr-2019,808648000.0,481855000.0,61775000.0,78186000.0
May-2019,835841000.0,517348000.0,54822000.0,69759000.0
Jun-2019,906681000.0,616593000.0,52178000.0,66645000.0
Jul-2019,860392000.0,541805000.0,52517000.0,81755000.0
Aug-2019,791560000.0,520659000.0,45316000.0,54707000.0
Sep-2019,913572000.0,584249000.0,65928000.0,74563000.0
Oct-2019,879034000.0,538521000.0,68320000.0,78514000.0
Nov-2019,805215000.0,517939000.0,52084000.0,57993000.0
Dec-2019,917553000.0,591829000.0,63219000.0,82080000.0
