year,name,count
1880,Mary,7065
1881,Mary,6919
1882,Mary,8148
1883,Mary,8012
1884,Mary,9217
1885,Mary,9128
1886,Mary,9889
1887,Mary,9888
1888,Mary,11754
1889,Mary,11648
1890,Mary,12078
1891,Mary,11703
1892,Mary,13172
1893,Mary,12784
1894,Mary,13151
1895,Mary,13446
1896,Mary,13811
1897,Mary,13413
1898,Mary,14406
1899,Mary,13172
1900,Mary,16706
1901,Mary,13136
1902,Mary,14486
1903,Mary,14275
1904,Mary,14961
1905,Mary,16067
1906,Mary,16370
1907,Mary,17580
1908,Mary,18665
1909,Mary,19259
1910,Mary,22848
1911,Mary,24390
1912,Mary,32304
1913,Mary,36642
1914,Mary,45345
1915,Mary,58187
1916,Mary,61438
1917,Mary,64281
1918,Mary,67366
1919,Mary,65838
1920,Mary,70982
1921,Mary,73985
1922,Mary,72173
1923,Mary,71638
1924,Mary,73534
1925,Mary,70591
1926,Mary,67832
1927,Mary,70639
1928,Mary,66872
1929,Mary,63508
1930,Mary,64146
1931,Mary,60296
1932,Mary,59874
1933,Mary,55509
1934,Mary,56929
1935,Mary,55069
1936,Mary,54372
1937,Mary,55645
1938,Mary,56215
1939,Mary,54901
1940,Mary,56203
1941,Mary,58040
1942,Mary,63254
1943,Mary,66169
1944,Mary,62467
1945,Mary,59283
1946,Mary,67467
1947,Linda,99689
1948,Linda,96211
1949,Linda,91016
1950,Linda,80431
1951,Linda,73978
1952,Linda,67082
1953,Mary,64379
1954,Mary,68007
1955,Mary,63165
1956,Mary,61756
1957,Mary,61094
1958,Mary,55857
1959,Mary,54474
1960,Mary,51475
1961,Mary,47680
1962,Lisa,46078
1963,Lisa,56040
1964,Lisa,54275
1965,Lisa,60269
1966,Lisa,56914
1967,Lisa,52435
1968,Lisa,49532
1969,Lisa,45029
1970,Jennifer,46157
1971,Jennifer,56783
1972,Jennifer,63603
1973,Jennifer,62447
1974,Jennifer,63114
1975,Jennifer,58183
1976,Jennifer,59474
1977,Jennifer,58964
1978,Jennifer,56321
1979,Jennifer,56717
1980,Jennifer,58375
1981,Jennifer,57049
1982,Jennifer,57117
1983,Jennifer,54346
1984,Jennifer,50559
1985,Jessica,48347
1986,Jessica,52677
1987,Jessica,55994
1988,Jessica,51543
1989,Jessica,47884
1990,Jessica,46475
1991,Ashley,43478
1992,Ashley,38453
1993,Jessica,34987
1994,Jessica,32117
1995,Jessica,27938
1996,Emily,25151
1997,Emily,25732
1998,Emily,26182
1999,Emily,26539
2000,Emily,25956
2001,Emily,25057
2002,Emily,24464
2003,Emily,25691
2004,Emily,25037
2005,Emily,23940
2006,Emily,21404
2007,Emily,19355
2008,Emma,18813
2009,Isabella,22306
2010,Isabella,22913
2011,Sophia,21842
2012,Sophia,22313
2013,Sophia,21223
2014,Emma,20936
2015,Emma,20455
2016,Emma,19496
2017,Emma,19800
2018,Emma,18688
